SYMBOL,NAME OF COMPANY,SERIES,Unnamed: 8,YahooEquiv,Yahoo_Equivalent_Code
ASHIANA,Ashiana Housing Limited,EQ,.NS,ASHIANA.NS,"'ASHIANA.NS',"
ASHIMASYN,Ashima Limited,BE,.NS,ASHIMASYN.NS,"'ASHIMASYN.NS',"
ASHOKA,Ashoka Buildcon Limited,EQ,.NS,ASHOKA.NS,"'ASHOKA.NS',"
ASHOKLEY,Ashok Leyland Limited,EQ,.NS,ASHOKLEY.NS,"'ASHOKLEY.NS',"
ASIANHOTNR,Asian Hotels (North) Limited,EQ,.NS,ASIANHOTNR.NS,"'ASIANHOTNR.NS',"
ASIANPAINT,Asian Paints Limited,EQ,.NS,ASIANPAINT.NS,"'ASIANPAINT.NS',"
ASIANTILES,Asian Granito India Limited,EQ,.NS,ASIANTILES.NS,"'ASIANTILES.NS',"
ASPINWALL,Aspinwall and Company Limited,EQ,.NS,ASPINWALL.NS,"'ASPINWALL.NS',"
ASTEC,Astec LifeSciences Limited,EQ,.NS,ASTEC.NS,"'ASTEC.NS',"
ASTERDM,Aster DM Healthcare Limited,EQ,.NS,ASTERDM.NS,"'ASTERDM.NS',"
ASTRAL,Astral Poly Technik Limited,EQ,.NS,ASTRAL.NS,"'ASTRAL.NS',"
ASTRAMICRO,Astra Microwave Products Limited,EQ,.NS,ASTRAMICRO.NS,"'ASTRAMICRO.NS',"
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,.NS,ASTRAZEN.NS,"'ASTRAZEN.NS',"
ASTRON,Astron Paper & Board Mill Limited,EQ,.NS,ASTRON.NS,"'ASTRON.NS',"
ATGL,Adani Total Gas Limited,EQ,.NS,ATGL.NS,"'ATGL.NS',"
ATLASCYCLE,Atlas Cycles (Haryana) Limited,BZ,.NS,ATLASCYCLE.NS,"'ATLASCYCLE.NS',"
ATUL,Atul Limited,EQ,.NS,ATUL.NS,"'ATUL.NS',"
ATULAUTO,Atul Auto Limited,EQ,.NS,ATULAUTO.NS,"'ATULAUTO.NS',"
AUBANK,AU Small Finance Bank Limited,EQ,.NS,AUBANK.NS,"'AUBANK.NS',"
AURIONPRO,Aurionpro Solutions Limited,EQ,.NS,AURIONPRO.NS,"'AURIONPRO.NS',"
AUROPHARMA,Aurobindo Pharma Limited,EQ,.NS,AUROPHARMA.NS,"'AUROPHARMA.NS',"
AUSOMENT,Ausom Enterprise Limited,EQ,.NS,AUSOMENT.NS,"'AUSOMENT.NS',"
AUTOAXLES,Automotive Axles Limited,EQ,.NS,AUTOAXLES.NS,"'AUTOAXLES.NS',"
AUTOIND,Autoline Industries Limited,EQ,.NS,AUTOIND.NS,"'AUTOIND.NS',"
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,.NS,AVADHSUGAR.NS,"'AVADHSUGAR.NS',"
AVANTIFEED,Avanti Feeds Limited,EQ,.NS,AVANTIFEED.NS,"'AVANTIFEED.NS',"
AVTNPL,AVT Natural Products Limited,EQ,.NS,AVTNPL.NS,"'AVTNPL.NS',"
AWHCL,Antony Waste Handling Cell Limited,EQ,.NS,AWHCL.NS,"'AWHCL.NS',"
AXISBANK,Axis Bank Limited,EQ,.NS,AXISBANK.NS,"'AXISBANK.NS',"
AXISCADES,AXISCADES Technologies Limited,EQ,.NS,AXISCADES.NS,"'AXISCADES.NS',"
AYMSYNTEX,AYM Syntex Limited,BE,.NS,AYMSYNTEX.NS,"'AYMSYNTEX.NS',"
BAFNAPH,Bafna Pharmaceuticals Limited,BE,.NS,BAFNAPH.NS,"'BAFNAPH.NS',"
BAGFILMS,B.A.G Films and Media Limited,BE,.NS,BAGFILMS.NS,"'BAGFILMS.NS',"
BAJAJ-AUTO,Bajaj Auto Limited,EQ,.NS,BAJAJ-AUTO.NS,"'BAJAJ-AUTO.NS',"
BAJAJCON,Bajaj Consumer Care Limited,EQ,.NS,BAJAJCON.NS,"'BAJAJCON.NS',"
BAJAJELEC,Bajaj Electricals Limited,EQ,.NS,BAJAJELEC.NS,"'BAJAJELEC.NS',"
BAJAJFINSV,Bajaj Finserv Limited,EQ,.NS,BAJAJFINSV.NS,"'BAJAJFINSV.NS',"
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,.NS,BAJAJHIND.NS,"'BAJAJHIND.NS',"
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,.NS,BAJAJHLDNG.NS,"'BAJAJHLDNG.NS',"
BAJFINANCE,Bajaj Finance Limited,EQ,.NS,BAJFINANCE.NS,"'BAJFINANCE.NS',"
BALAJITELE,Balaji Telefilms Limited,EQ,.NS,BALAJITELE.NS,"'BALAJITELE.NS',"
BALAMINES,Balaji Amines Limited,EQ,.NS,BALAMINES.NS,"'BALAMINES.NS',"
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,.NS,BALAXI.NS,"'BALAXI.NS',"
BALKRISHNA,Balkrishna Paper Mills Limited,BE,.NS,BALKRISHNA.NS,"'BALKRISHNA.NS',"
BALKRISIND,Balkrishna Industries Limited,EQ,.NS,BALKRISIND.NS,"'BALKRISIND.NS',"
BALLARPUR,Ballarpur Industries Limited,BZ,.NS,BALLARPUR.NS,"'BALLARPUR.NS',"
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,.NS,BALMLAWRIE.NS,"'BALMLAWRIE.NS',"
BALPHARMA,Bal Pharma Limited,BE,.NS,BALPHARMA.NS,"'BALPHARMA.NS',"
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,.NS,BALRAMCHIN.NS,"'BALRAMCHIN.NS',"
BANARBEADS,Banaras Beads Limited,EQ,.NS,BANARBEADS.NS,"'BANARBEADS.NS',"
BANARISUG,Bannari Amman Sugars Limited,EQ,.NS,BANARISUG.NS,"'BANARISUG.NS',"
BANCOINDIA,Banco Products (I) Limited,EQ,.NS,BANCOINDIA.NS,"'BANCOINDIA.NS',"
BANDHANBNK,Bandhan Bank Limited,EQ,.NS,BANDHANBNK.NS,"'BANDHANBNK.NS',"
BANG,Bang Overseas Limited,EQ,.NS,BANG.NS,"'BANG.NS',"
BANKA,Banka BioLoo Limited,EQ,.NS,BANKA.NS,"'BANKA.NS',"
BANKBARODA,Bank of Baroda,EQ,.NS,BANKBARODA.NS,"'BANKBARODA.NS',"
BANKINDIA,Bank of India,EQ,.NS,BANKINDIA.NS,"'BANKINDIA.NS',"
BANSWRAS,Banswara Syntex Limited,EQ,.NS,BANSWRAS.NS,"'BANSWRAS.NS',"
BASF,BASF India Limited,EQ,.NS,BASF.NS,"'BASF.NS',"
BASML,Bannari Amman Spinning Mills Limited,BE,.NS,BASML.NS,"'BASML.NS',"
BATAINDIA,Bata India Limited,EQ,.NS,BATAINDIA.NS,"'BATAINDIA.NS',"
BAYERCROP,Bayer Cropscience Limited,EQ,.NS,BAYERCROP.NS,"'BAYERCROP.NS',"
BBL,Bharat Bijlee Limited,EQ,.NS,BBL.NS,"'BBL.NS',"
BBTC,Bombay Burmah Trading Corporation Limited,EQ,.NS,BBTC.NS,"'BBTC.NS',"
BCG,Brightcom Group Limited,EQ,.NS,BCG.NS,"'BCG.NS',"
BDL,Bharat Dynamics Limited,EQ,.NS,BDL.NS,"'BDL.NS',"
BEARDSELL,Beardsell Limited,EQ,.NS,BEARDSELL.NS,"'BEARDSELL.NS',"
BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,.NS,BECTORFOOD.NS,"'BECTORFOOD.NS',"
BEDMUTHA,Bedmutha Industries Limited,EQ,.NS,BEDMUTHA.NS,"'BEDMUTHA.NS',"
BEL,Bharat Electronics Limited,EQ,.NS,BEL.NS,"'BEL.NS',"
BEML,BEML Limited,EQ,.NS,BEML.NS,"'BEML.NS',"
BEPL,Bhansali Engineering Polymers Limited,EQ,.NS,BEPL.NS,"'BEPL.NS',"
BERGEPAINT,Berger Paints (I) Limited,EQ,.NS,BERGEPAINT.NS,"'BERGEPAINT.NS',"
BFINVEST,BF Investment Limited,EQ,.NS,BFINVEST.NS,"'BFINVEST.NS',"
BFUTILITIE,BF Utilities Limited,EQ,.NS,BFUTILITIE.NS,"'BFUTILITIE.NS',"
BGRENERGY,BGR Energy Systems Limited,BE,.NS,BGRENERGY.NS,"'BGRENERGY.NS',"
BHAGERIA,Bhageria Industries Limited,EQ,.NS,BHAGERIA.NS,"'BHAGERIA.NS',"
BHAGYANGR,Bhagyanagar India Limited,BE,.NS,BHAGYANGR.NS,"'BHAGYANGR.NS',"
BHANDARI,Bhandari Hosiery Exports Limited,EQ,.NS,BHANDARI.NS,"'BHANDARI.NS',"
BHARATFORG,Bharat Forge Limited,EQ,.NS,BHARATFORG.NS,"'BHARATFORG.NS',"
BHARATGEAR,Bharat Gears Limited,BE,.NS,BHARATGEAR.NS,"'BHARATGEAR.NS',"
BHARATRAS,Bharat Rasayan Limited,EQ,.NS,BHARATRAS.NS,"'BHARATRAS.NS',"
BHARATWIRE,Bharat Wire Ropes Limited,EQ,.NS,BHARATWIRE.NS,"'BHARATWIRE.NS',"
BHARTIARTL,Bharti Airtel Limited,EQ,.NS,BHARTIARTL.NS,"'BHARTIARTL.NS',"
BHEL,Bharat Heavy Electricals Limited,EQ,.NS,BHEL.NS,"'BHEL.NS',"
BIGBLOC,Bigbloc Construction Limited,BE,.NS,BIGBLOC.NS,"'BIGBLOC.NS',"
BIL,Bhartiya International Limited,EQ,.NS,BIL.NS,"'BIL.NS',"
BILENERGY,Bil Energy Systems Limited,BZ,.NS,BILENERGY.NS,"'BILENERGY.NS',"
BIOCON,Biocon Limited,EQ,.NS,BIOCON.NS,"'BIOCON.NS',"
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,BE,.NS,BIOFILCHEM.NS,"'BIOFILCHEM.NS',"
BIRLACABLE,Birla Cable Limited,EQ,.NS,BIRLACABLE.NS,"'BIRLACABLE.NS',"
BIRLACORPN,Birla Corporation Limited,EQ,.NS,BIRLACORPN.NS,"'BIRLACORPN.NS',"
BIRLAMONEY,Aditya Birla Money Limited,EQ,.NS,BIRLAMONEY.NS,"'BIRLAMONEY.NS',"
BKMINDST,Bkm Industries Limited,BE,.NS,BKMINDST.NS,"'BKMINDST.NS',"
BLBLIMITED,BLB Limited,EQ,.NS,BLBLIMITED.NS,"'BLBLIMITED.NS',"
BLISSGVS,Bliss GVS Pharma Limited,EQ,.NS,BLISSGVS.NS,"'BLISSGVS.NS',"
BLKASHYAP,B. L. Kashyap and Sons Limited,BE,.NS,BLKASHYAP.NS,"'BLKASHYAP.NS',"
BLS,BLS International Services Limited,EQ,.NS,BLS.NS,"'BLS.NS',"
BLUECOAST,Blue Coast Hotels Limited,BE,.NS,BLUECOAST.NS,"'BLUECOAST.NS',"
BLUEDART,Blue Dart Express Limited,EQ,.NS,BLUEDART.NS,"'BLUEDART.NS',"
BLUESTARCO,Blue Star Limited,EQ,.NS,BLUESTARCO.NS,"'BLUESTARCO.NS',"
BODALCHEM,Bodal Chemicals Limited,EQ,.NS,BODALCHEM.NS,"'BODALCHEM.NS',"
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,.NS,BOMDYEING.NS,"'BOMDYEING.NS',"
BOROLTD,Borosil Limited,EQ,.NS,BOROLTD.NS,"'BOROLTD.NS',"
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,.NS,BORORENEW.NS,"'BORORENEW.NS',"
BOSCHLTD,Bosch Limited,EQ,.NS,BOSCHLTD.NS,"'BOSCHLTD.NS',"
BPCL,Bharat Petroleum Corporation Limited,EQ,.NS,BPCL.NS,"'BPCL.NS',"
BPL,BPL Limited,EQ,.NS,BPL.NS,"'BPL.NS',"
BRFL,Bombay Rayon Fashions Limited,EQ,.NS,BRFL.NS,"'BRFL.NS',"
BRIGADE,Brigade Enterprises Limited,EQ,.NS,BRIGADE.NS,"'BRIGADE.NS',"
BRITANNIA,Britannia Industries Limited,EQ,.NS,BRITANNIA.NS,"'BRITANNIA.NS',"
BRNL,Bharat Road Network Limited,EQ,.NS,BRNL.NS,"'BRNL.NS',"
BROOKS,Brooks Laboratories Limited,EQ,.NS,BROOKS.NS,"'BROOKS.NS',"
BSE,BSE Limited,EQ,.NS,BSE.NS,"'BSE.NS',"
BSHSL,Bombay Super Hybrid Seeds Limited,EQ,.NS,BSHSL.NS,"'BSHSL.NS',"
BSL,BSL Limited,BE,.NS,BSL.NS,"'BSL.NS',"
BSOFT,BIRLASOFT LIMITED,EQ,.NS,BSOFT.NS,"'BSOFT.NS',"
BURNPUR,Burnpur Cement Limited,BE,.NS,BURNPUR.NS,"'BURNPUR.NS',"
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,.NS,BUTTERFLY.NS,"'BUTTERFLY.NS',"
BVCL,Barak Valley Cements Limited,BE,.NS,BVCL.NS,"'BVCL.NS',"
BYKE,The Byke Hospitality Ltd,BE,.NS,BYKE.NS,"'BYKE.NS',"
CALSOFT,California Software Company Limited,EQ,.NS,CALSOFT.NS,"'CALSOFT.NS',"
